gene	NR4A1	RUNX3	MEF2D	CREM	GFI1	IRF7	ATF1	ARNT	FOSL1	JUN	NFYC	RFX5	FOXO6	ZEB1	PITX3	USF1	KLF6	ELK4	FOXD2	ETV3	ATF3	HINFP	FOXJ3	E2F8	NFKB2	SP1
NR4A1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1
RUNX3	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1
MEF2D	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
CREM	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1
GFI1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
IRF7	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
ATF1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ARNT	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
FOSL1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1
JUN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFYC	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
RFX5	0	1	1	0	0	1	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	0	0	1
FOXO6	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
ZEB1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
PITX3	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1
USF1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
KLF6	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
ELK4	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
FOXD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV3	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
ATF3	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
HINFP	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1
FOXJ3	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
E2F8	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
NFKB2	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
SP1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
