gene	MAZ	CENPB	NR1I2	E2F3	CREB3	RFX3	RARG	IRF2	RFX1	ARNT2	USF2	PAX7	MAFK	CKS1B
MAZ	9.0	7.0	0.0	8.0	8.0	9.0	9.0	8.0	8.0	3.0	7.0	0.0	8.0	0.0
CENPB	7.0	6.0	0.0	8.0	7.0	6.0	6.0	7.0	4.0	3.0	5.0	0.0	4.0	0.0
NR1I2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E2F3	8.0	8.0	0.0	8.0	8.0	8.0	8.0	8.0	8.0	5.0	6.0	0.0	7.0	0.0
CREB3	8.0	7.0	0.0	8.0	9.0	8.0	8.0	8.0	9.0	3.0	6.0	0.0	5.0	0.0
RFX3	9.0	6.0	0.0	8.0	8.0	10.0	7.0	8.0	6.0	4.0	5.0	0.0	6.0	0.0
RARG	9.0	6.0	0.0	8.0	8.0	7.0	8.0	7.0	6.0	2.0	5.0	0.0	6.0	0.0
IRF2	8.0	7.0	0.0	8.0	8.0	8.0	7.0	9.0	6.0	4.0	5.0	0.0	5.0	0.0
RFX1	8.0	4.0	0.0	8.0	9.0	6.0	6.0	6.0	9.0	4.0	4.0	0.0	4.0	0.0
ARNT2	3.0	3.0	0.0	5.0	3.0	4.0	2.0	4.0	4.0	2.0	2.0	0.0	3.0	0.0
USF2	7.0	5.0	0.0	6.0	6.0	5.0	5.0	5.0	4.0	2.0	5.0	0.0	4.0	0.0
PAX7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAFK	8.0	4.0	0.0	7.0	5.0	6.0	6.0	5.0	4.0	3.0	4.0	0.0	6.0	0.0
CKS1B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
