gene	MAZ	CENPB	NR1I2	E2F3	CREB3	RFX3	RARG	IRF2	RFX1	ARNT2	USF2	PAX7	MAFK	CKS1B
MAZ	1	1	0	1	1	1	1	1	1	1	0	0	0	0
CENPB	1	1	0	1	1	1	1	1	1	0	0	0	0	0
NR1I2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F3	1	1	0	1	1	1	1	1	1	1	0	0	0	0
CREB3	1	1	0	1	1	1	1	1	1	1	0	0	0	0
RFX3	1	1	0	1	1	1	1	1	1	0	0	0	0	0
RARG	1	1	0	1	1	1	1	1	1	0	0	0	0	0
IRF2	1	1	0	1	1	1	1	1	1	0	0	0	0	0
RFX1	1	1	0	1	1	1	1	1	1	0	0	0	0	0
ARNT2	1	0	0	1	1	0	0	0	0	0	0	0	0	0
USF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAX7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAFK	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CKS1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
