TF	KLF16	RFX3	E2F3	PAX2	RFX1	KLF3	CRX	MAZ	ARNT2	PAX7	ID4	CENPB	IRF2	CREB3	USF2	RARG	EGR3	MSX1	MNT	HEXIM1	ISG15	ZBTB7B	TAPBPL
KLF16	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0
RFX3	1	1	1	0	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0
E2F3	1	1	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0
PAX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RFX1	1	1	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0
KLF3	1	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0
CRX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAZ	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0
ARNT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAX7	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
ID4	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
CENPB	1	1	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0
IRF2	1	1	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0
CREB3	1	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0
USF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RARG	1	1	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0
EGR3	1	1	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0
MSX1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0
MNT	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0
HEXIM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISG15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB7B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAPBPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
